title,style,alcohol_percentage,volume_centiliter,container_type,in_stock_status,price_pounds,beer_image_url,beer_details_url,last_updated_at_UTC
Birra Moretti L'Autentica Value Case,,,792.0,,True,34.99,https://www.beerwulf.com/globalassets/4.-products/packs/value-packs/birra_moretti_box.png,https://www.beerwulf.com/en-gb/p/beercases/birra-moretti-lautentica-value-case,05-Jun-2022 11:05:35
Affligem Blond Value Case,,,792.0,,True,42.99,https://www.beerwulf.com/globalassets/affligem-blond-33cl-value-case_valuepack_23770_0.png,https://www.beerwulf.com/en-gb/p/beercases/affligem-blond-33cl-value-case,05-Jun-2022 11:05:35
Beerwulf Tasting Beer Glass Case,,,0.0,,True,25.191,https://www.beerwulf.com/globalassets/6-harmony-beerwulf-glass-pack_pack_22730_0.png,https://www.beerwulf.com/en-gb/p/beercases/Beerwulf-Tasting-Beer-Glass-Case,05-Jun-2022 11:05:35
Lagunitas IPA Value Case,,,852.0,,True,54.99,https://www.beerwulf.com/globalassets/lagunitas-ipa_2_0.png,https://www.beerwulf.com/en-gb/p/beercases/lagunitas-ipa-valuecase,05-Jun-2022 11:05:35
Murphy's Irish Stout Value Case,,,1200.0,,True,45.99,https://www.beerwulf.com/globalassets/4.-products/packs/value-packs/murphys_irish_stout_can_box.png,https://www.beerwulf.com/en-gb/p/beercases/murphys-irish-stout-value-case,05-Jun-2022 11:05:35
Heineken Silver Value Case,,,396.0,,True,24.99,https://www.beerwulf.com/globalassets/heineken-silver-case_pack_24398_0.png,https://www.beerwulf.com/en-gb/p/beercases/Heineken--Silver-Value-Case,05-Jun-2022 11:05:35
Brouwerij 't IJ IJwit value case,,,792.0,,True,56.99,https://www.beerwulf.com/globalassets/4.-products/packs/value-packs/brouwerij_t_ij_ijwit_box.png,https://www.beerwulf.com/en-gb/p/beercases/brouwerij-t-ij-ijwit-value-case,05-Jun-2022 11:05:35
Two Chefs Brewing Brewery Case,,,297.0,,True,44.99,https://www.beerwulf.com/globalassets/two-chefs-brewing-brewery-case_pack_24061_0.png,https://www.beerwulf.com/en-gb/p/beercases/two-chefs-brewing-brewery-case,05-Jun-2022 11:05:35
Beerwulf Beer Glass and Opener Kit,,,0.0,,True,27.891,https://www.beerwulf.com/globalassets/beerwulf-bottle-kit_pack_22786_06.png,https://www.beerwulf.com/en-gb/p/beercases/beerwulf-beer-glass-opener-kit,05-Jun-2022 11:05:35
Sol Value Case,,,792.0,,True,39.99,https://www.beerwulf.com/globalassets/4.-products/packs/value-packs/sol_box.png,https://www.beerwulf.com/en-gb/p/beercases/sol-value-case,05-Jun-2022 11:05:35
Lagunitas A Little Sumpin Sumpin Value Case,,,852.0,,True,59.99,https://www.beerwulf.com/globalassets/lagunitas-a-little-sumpin-sumpin-voordeelverpakking_1_03.png,https://www.beerwulf.com/en-gb/p/beercases/lagunitas-a-little-sumpin-sumpin-value-case,05-Jun-2022 11:05:35
Father’s Day Gift Case,,,258.0,,True,28.99,https://www.beerwulf.com/globalassets/fathers-day-case_pack_24285_02.png,https://www.beerwulf.com/en-gb/p/beercases/Fathers-Day-Gift-Case,05-Jun-2022 11:05:35
Desperados Value Case,,,792.0,,True,42.99,https://www.beerwulf.com/globalassets/desperados-voordeelverpakking_1_0.png,https://www.beerwulf.com/en-gb/p/beercases/desperados-value-case,05-Jun-2022 11:05:35
Desperados - 5L Draught Keg,Lager,5.9,500.0,DraughtKeg,True,23.99,https://www.beerwulf.com/globalassets/catalog/beerwulf/beers/5l-keg/draught_keg_5l_desperados_original.png,https://www.beerwulf.com/en-gb/p/beers/desperados-5l-keg,05-Jun-2022 11:05:35
Delirium Argentum - 2L SUB Keg,Blond Beer,7.0,200.0,Torp,True,18.99,https://www.beerwulf.com/globalassets/delirium-argentum-sub-keg_beer_24179_0.png,https://www.beerwulf.com/en-gb/p/beers/Delirium-Argentum-2L-SUB-Keg,05-Jun-2022 11:05:35
Heineken Silver - 8L BLADE Keg,Lager,4.0,800.0,BladeKeg,True,29.99,https://www.beerwulf.com/globalassets/heineken-silver---8l-blade-keg_beer_24084_0.png,https://www.beerwulf.com/en-gb/p/beers/heineken-silver-8l-keg,05-Jun-2022 11:05:35
Hofbräu Kaltenhausen Gandolf IPA - 2L SUB Keg,IPA,7.9,200.0,Torp,True,10.99,https://www.beerwulf.com/globalassets/hofbrau-kaltenhausen-gandolf-ipa-2l-keg_1_1.png,https://www.beerwulf.com/en-gb/p/beers/hofbrau-kaltenhausen-gandolf-ipa-2l-keg,05-Jun-2022 11:05:35
Heineken Beer Champions League Glass Case,,,0.0,,True,18.891,https://www.beerwulf.com/globalassets/6-heineken-cl-glass-pack_pack_24283_0.png,https://www.beerwulf.com/en-gb/p/beercases/6-heineken-c.l-glass-pack,05-Jun-2022 11:05:35
Messina Cristalli Di Sale - 8L BLADE Keg,Lager,5.0,800.0,BladeKeg,True,32.99,https://www.beerwulf.com/globalassets/messina-cristalli-di-sale---8l-blade-keg_beer_23827_03.png,https://www.beerwulf.com/en-gb/p/beers/messina-cristalli-di-sale-8L-keg,05-Jun-2022 11:05:35
Desperados - 8L BLADE Keg,Lager,5.9,800.0,BladeKeg,True,35.99,https://www.beerwulf.com/globalassets/desperados-blade-keg_beer_23543_02.png,https://www.beerwulf.com/en-gb/p/beers/desperados-8L-keg,05-Jun-2022 11:05:35
BLADE Tiger Starter Pack + Glasses,,,1600.0,,True,475.0,https://www.beerwulf.com/globalassets/-blade--tiger---8l--glasses_skucollection_24315_0.png,https://www.beerwulf.com/en-gb/p/beercases/BLADE-Tiger-Starter-Pack-Glasses,05-Jun-2022 11:05:35
Heineken - 8L BLADE Keg,Lager,5.0,800.0,BladeKeg,True,29.99,https://www.beerwulf.com/globalassets/heineken-8l-blade-keg_1_2.png,https://www.beerwulf.com/en-gb/p/beers/heineken-blade-8l-keg,05-Jun-2022 11:05:35
BLADE Heineken Starter Pack + Glasses,,,1600.0,,True,475.0,https://www.beerwulf.com/globalassets/blade--2-heineken---8l--6-hnk-glasses_skucollection_24311_02.png,https://www.beerwulf.com/en-gb/p/beercases/BLADE-Heineken-Starter-Pack-Glasses,05-Jun-2022 11:05:35
Lagunitas IPA - 2L SUB Keg,IPA,6.2,200.0,Torp,True,13.99,https://www.beerwulf.com/globalassets/lagunitas-ipa-2l-keg_1_02.png,https://www.beerwulf.com/en-gb/p/beers/lagunitas-ipa-2l-keg,05-Jun-2022 11:05:35
Wild Beer Co IPA - 2L SUB Keg,IPA,5.2,200.0,Torp,True,13.99,https://www.beerwulf.com/globalassets/wild-beer-co-ipa---sub-keg-v2_beer_24040_0.png,https://www.beerwulf.com/en-gb/p/beers/wild-beer-co-ipa-2l--keg,05-Jun-2022 11:05:35
Krombacher Pils - 5L Draught Keg,Pilsner & Hoppy Lager,4.8,500.0,DraughtKeg,True,23.99,https://www.beerwulf.com/globalassets/krombacher-pilsdraughtkeg5_14692_2.png,https://www.beerwulf.com/en-gb/p/beers/krombacher-pils-5l-keg,05-Jun-2022 11:05:35
