title,style,alcohol_percentage,volume_centiliter,container_type,in_stock_status,price_pounds,beer_image_url,beer_details_url,last_updated_at_UTC
St. Bernardus Pater 6,Dubbel Beer,6.7,33.0,Bottle,True,2.59,https://www.beerwulf.com/globalassets/st.-bernardus-pater-6.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/st2.-bernardus-pater-6,05-Dec-2021 18:39:23
Grisette Blond Gluten Free,Blond Beer,5.5,25.0,Bottle,True,2.39,https://www.beerwulf.com/globalassets/grisette-blond-gluten-free.25_1_1.png,https://www.beerwulf.com/en-gb/p/beers/grisette-blond-gluten-free.25,05-Dec-2021 18:39:23
Brixton Coldharbour Lager,Pilsner & Hoppy Lager,4.4,33.0,Bottle,True,2.69,https://www.beerwulf.com/globalassets/brixton-coldharbour-lager.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/brixton-coldharbour-lager.33,05-Dec-2021 18:39:23
BRLO Naked,Pale Ale,0.2,33.0,Bottle,True,2.49,https://www.beerwulf.com/globalassets/brlo-naked.33_1_02.png,https://www.beerwulf.com/en-gb/p/beers/brlo-naked.33,05-Dec-2021 18:39:23
Force Majeure Traditional Blond,Blond Beer,0.4,33.0,Bottle,True,2.19,https://www.beerwulf.com/globalassets/catalog/beerwulf/beers/beer-placeholder_def3.png,https://www.beerwulf.com/en-gb/p/beers/force-majeure-traditional-blond.33,05-Dec-2021 18:39:23
Lowlander 0% Wit,White Beer,0.0,33.0,Bottle,True,2.39,https://www.beerwulf.com/globalassets/lowlander-0-wit.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/lowlander-0-wit.33,05-Dec-2021 18:39:23
Brouwerij 't IJ IJwit,White Beer,6.5,33.0,Bottle,True,2.79,https://www.beerwulf.com/globalassets/brouwerij-t-ij-ijwit.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/brouwerij-t-ij-ijwit,05-Dec-2021 18:39:23
Lagunitas A Little Sumpin' Sumpin',IPA,7.5,36.0,Bottle,True,2.89,https://www.beerwulf.com/globalassets/lagunitas-a-little-sumpin-sumpin.36_1_1.png,https://www.beerwulf.com/en-gb/p/beers/lagunitas-a-little-sumpin-sumpin2,05-Dec-2021 18:39:23
Affligem Dubbel,Dubbel Beer,6.8,30.0,Bottle,True,2.19,https://www.beerwulf.com/globalassets/affligem-dubbel.3_1_0.png,https://www.beerwulf.com/en-gb/p/beers/affligem-dubbel.3,05-Dec-2021 18:39:23
vandeStreek Playground IPA Alcoholvrij,IPA,0.5,33.0,Bottle,True,2.39,https://www.beerwulf.com/globalassets/vandestreek-playground-ipa-alcoholvrij.33_1_0.png,https://www.beerwulf.com/en-gb/p/beers/vandestreek-playground-ipa-alcoholvrij2,05-Dec-2021 18:39:23
Hoppebräu Helles,Lager,4.9,50.0,Bottle,True,2.49,https://www.beerwulf.com/globalassets/hoppebrau-helles.5_1_1.png,https://www.beerwulf.com/en-gb/p/beers/hoppebrau-helles.5,05-Dec-2021 18:39:23
Brasserie De Sutter Brin de Folie,Blond Beer,6.5,33.0,Bottle,True,2.69,https://www.beerwulf.com/globalassets/brasserie-de-sutter-brin-de-folie.33_1_0.png,https://www.beerwulf.com/en-gb/p/beers/brasserie-de-sutter-brin-de-folie.33,05-Dec-2021 18:39:23
