BeerID,Title,Style,Container Type,InStock Status,Image Link,Details Link,Alcohol %,Volume (cl),Price (£)
B1027,Kapittel Watou Triple Abt 10,Tripel Beer,Bottle,True,https://www.beerwulf.com/globalassets/kapittel-watou-triple-abt-10.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/kapittel-watou-triple-abt-10.33,10.0,33.0,2.89
B1028,Paulaner Weissbier,German Wheat Beer,Bottle,True,https://www.beerwulf.com/globalassets/paulaner-hefeweizen-naturtrub.5_1_0.png,https://www.beerwulf.com/en-gb/p/beers/paulaner-hefeweizen-naturtrub,5.5,50.0,2.79
B1029,De Molen Vuur & Vlam IPA,IPA,Bottle,True,https://www.beerwulf.com/globalassets/de-molen-vuur--vlam-ipa.33_1_0.png,https://www.beerwulf.com/en-gb/p/beers/de-molen-vuur--vlam-ipa.33,6.2,33.0,2.79
B1030,La Trappe Blond,Blond Beer,Bottle,True,https://www.beerwulf.com/globalassets/la_trappe_trappist_blond.png,https://www.beerwulf.com/en-gb/p/beers/la-trappe-blond33,6.5,33.0,2.59
B1031,Brouwerij Noordt Noordtsingle,Lager,Bottle,True,https://www.beerwulf.com/globalassets/brouwerij-noordt-noordtsingel.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/brouwerij-noordt-noordtsingle2,4.5,33.0,2.79
B1032,Jopen Jacobus RPA,Pale Ale,Bottle,True,https://www.beerwulf.com/globalassets/jopen-jacobus-rpa.33_1_0.png,https://www.beerwulf.com/en-gb/p/beers/jopen-jacobus-rpa2,5.5,33.0,2.89
B1033,BrewDog Dead Pony Club Can,Pale Ale,Can,True,https://www.beerwulf.com/globalassets/brewdog-dead-pony-club-can.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/brewdog-dead-pony-club-can.33,3.8,33.0,2.49
B1034,Beavertown Bloody Ell,IPA,Can,True,https://www.beerwulf.com/globalassets/beavertown-bloody-ell2.33_1_0,https://www.beerwulf.com/en-gb/p/beers/beavertown-bloody-ell.33,5.5,33.0,2.89
B1035,St. Feuillien Tripel,Tripel Beer,Bottle,True,https://www.beerwulf.com/globalassets/st-feuillien-tripel.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/st.-feuillien-tripel.33,8.5,33.0,2.89
B1036,Blanche De Silly,White Beer,Bottle,True,https://www.beerwulf.com/globalassets/blanche-de-silly.25_1_1.png,https://www.beerwulf.com/en-gb/p/beers/blanche-de-silly2,5.0,25.0,2.49
B1037,Houblon Chouffe,IPA,Bottle,True,https://www.beerwulf.com/globalassets/la-chouffe-houblon.33_1_0.png,https://www.beerwulf.com/en-gb/p/beers/la-chouffe-houblon2,9.0,33.0,3.29
B1038,Westmalle Dubbel,Dubbel Beer,Bottle,True,https://www.beerwulf.com/globalassets/westmalle-dubbel.33_1_0.png,https://www.beerwulf.com/en-gb/p/beers/westmalle-dubbel2,7.0,33.0,2.49
B1039,Chimay Blauw,Quadrupel Beer,Bottle,True,https://www.beerwulf.com/globalassets/chimay-blauw.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/chimay-blue.33,9.0,33.0,3.39
B1040,De Koninck Triple D'Anvers,Tripel Beer,Bottle,True,https://www.beerwulf.com/globalassets/de-koninck-triple-danvers.33_1_0.png,https://www.beerwulf.com/en-gb/p/beers/de-koninck-triple-danvers2,8.0,33.0,3.09
B1041,St. Feuillien Five,Blond Beer,Bottle,True,https://www.beerwulf.com/globalassets/st.-feuillien-fivebottle.33_14916_0.png,https://www.beerwulf.com/en-gb/p/beers/st.-feuillien-five-bottle-.33,5.0,33.0,2.39
B1042,Gallia West IPA,IPA,Bottle,True,https://www.beerwulf.com/globalassets/gallia-west-ipa.33_1_2.png,https://www.beerwulf.com/en-gb/p/beers/gallia-west-ipa.33,6.0,33.0,2.89
B1043,Murphy's Irish Stout,Porter & Stout,Can,True,https://www.beerwulf.com/globalassets/murphys-irish-stout.5_1_1.png,https://www.beerwulf.com/en-gb/p/beers/murphys-irish-stout.5,4.0,50.0,2.49
B1044,Sol,Lager,Bottle,True,https://www.beerwulf.com/globalassets/sol.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/sol.33,4.5,33.0,1.79
B1045,Affligem Patersvat,Blond Beer,Bottle,True,https://www.beerwulf.com/globalassets/affligem-patersvat.3_1_1.png,https://www.beerwulf.com/en-gb/p/beers/affligem-patersvat2,6.8,30.0,2.49
